Sum of normalized_frequency	Column Labels					
Row Labels	Art	Education Economics	History	Religion	War	Grand Total
3	100					100
987	100					100
994	100					100
1030	100					100
1070	100					100
1100						
1101	100					100
1115	100					100
1260	16.66666667					16.66666667
1275			12.5			12.5
1300						
1336	20					20
1360	33.33333333					33.33333333
1369	50					50
1400	0.961538462					0.961538462
1405	25					25
1410	33.33333333					33.33333333
1420	10					10
1425	5.555555556					5.555555556
1430	18.18181818					18.18181818
1440	8.333333333					8.333333333
1445	20					20
1460	16.66666667					16.66666667
1463						
1468				6.666666667		6.666666667
1470	0.854700855					0.854700855
1471				1.041666667		1.041666667
1472	0.64516129					0.64516129
1473			0.662251656			0.662251656
1474						
1475	1.2			0.8		2
1476			1.01010101	0.505050505		1.515151515
1477						
1479				0.826446281		0.826446281
1480	1.176470588	0.392156863				1.568627451
1481	0.480769231		0.480769231	1.442307692		2.403846154
1482	0.892857143	0.446428571				1.339285714
1483		0.434782609		0.434782609		0.869565217
1484				0.529100529		0.529100529
1485				0.714285714		0.714285714
1487	0.454545455			0.454545455		0.909090909
1489						
1490				0.272479564		0.272479564
1492	0.934579439	0.31152648				1.246105919
1493		0.27700831	0.27700831			0.55401662
1494		0.55401662				0.55401662
1495				0.240384615		0.240384615
1496			0.267379679			0.267379679
1497			0.235849057	0.235849057		0.471698113
1498		0.253807107				0.253807107
1499		0.27100271		0.54200542		0.81300813
1500	1.488833747		0.124069479	0.248138958		1.861042184
1501	0.490196078					0.490196078
1503	0.505050505					0.505050505
1504		0.561797753				0.561797753
1506	0.531914894			0.531914894		1.063829787
1507	0.485436893		0.485436893	0.485436893		1.45631068
1508	0.45045045					0.45045045
1510	0.3125			0.3125		0.625
1512	0.395256917			0.395256917		0.790513834
1513			0.362318841			0.362318841
1514	0.653594771			0.326797386		0.980392157
1515	1.242236025					1.242236025
1516		0.324675325	0.649350649	0.649350649		1.623376623
1517	0.293255132		0.293255132			0.586510264
1518		0.251889169				0.251889169
1520	0.148809524					0.148809524
1521	0.182815356			0.182815356		0.365630713
1523	0.166112957	0.166112957		0.166112957		0.49833887
1525	0.192678227		0.578034682	0.192678227		0.963391137
1526		0.23255814	0.23255814			0.465116279
1527		0.276243094				0.276243094
1529		0.279329609				0.279329609
1530	0.358422939					0.358422939
1531				0.487804878		0.487804878
1533			0.259067358			0.259067358
1534			0.486618005			0.486618005
1535						
1537		0.246305419	0.246305419	0.246305419		0.738916256
1538		0.392156863				0.392156863
1539				0.203665988		0.203665988
1540		0.956022945				0.956022945
1541		0.239808153				0.239808153
1542	0.197238659			0.394477318		0.591715976
1543	0.189035917		0.378071834	0.56710775		1.134215501
1544	0.188679245	0.377358491	0.188679245	0.377358491		1.132075472
1545	0.173010381		0.173010381			0.346020761
1546						
1547		0.41322314	0.20661157			0.619834711
1548				0.168067227		0.168067227
1549				0.286532951		0.286532951
1550		0.1017294				0.1017294
1551		0.15625				0.15625
1552				0.169779287		0.169779287
1553		0.175438596	0.701754386			0.877192982
1554		0.162337662	0.487012987			0.649350649
1555	0.281293952	0.281293952	0.281293952			0.843881857
1556		0.428571429	0.285714286			0.714285714
1557	0.343642612					0.343642612
1558		0.161550889		0.161550889		0.323101777
1559	0.163398693					0.163398693
1560	0.142653352	0.142653352	0.142653352	0.285306705		0.713266762
1561			0.155520995			0.155520995
1562	0.303951368	0.151975684	0.151975684	0.151975684		0.759878419
1563	0.185873606					0.185873606
1564	0.183150183			0.183150183		0.366300366
1565				0.509337861		0.509337861
1566	0.141843972	0.141843972		0.283687943		0.567375887
1567				0.541516245		0.541516245
1568		0.384615385				0.384615385
1569						
1570				0.310559006		0.310559006
1572			0.136054422	0.136054422		0.272108844
1573			0.175746924	0.351493849		0.527240773
1574	0.162074554					0.162074554
1575		0.315457413		0.157728707		0.47318612
1576		0.180505415	0.180505415	0.180505415		0.541516245
1577				0.203665988		0.203665988
1578	0.179856115					0.179856115
1579		0.197628458		0.197628458		0.395256917
1580		0.152207002	0.152207002	0.152207002		0.456621005
1581						
1582		0.154559505	0.463678516			0.618238022
1583		0.163132137	0.163132137	0.163132137		0.489396411
1584		0.139082058		0.139082058		0.278164117
1585				0.138504155		0.138504155
1586						
1587			0.147058824	0.147058824		0.294117647
1588			0.134048257			0.134048257
1589		0.335008375	0.335008375	0.167504188		0.837520938
1590	0.15600624		0.31201248	0.31201248		0.780031201
1591			0.185185185			0.185185185
1592			0.18018018			0.18018018
1593		0.183486239		0.183486239		0.366972477
1594		0.167504188				0.167504188
1596			0.326264274	0.163132137		0.489396411
1597			0.313479624			0.313479624
1598			0.429184549			0.429184549
1599			0.15503876	0.15503876		0.310077519
1600	0.219298246		0.328947368	0.109649123		0.657894737
1601	0.181818182		0.727272727			0.909090909
1602	0.169491525		0.169491525	0.338983051		0.677966102
1603		0.170357751		0.170357751		0.340715503
1604	0.157728707	0.157728707	0.157728707			0.47318612
1605		0.16722408	0.334448161	0.16722408		0.668896321
1606			0.139664804			0.139664804
1607	0.143061516			0.429184549		0.572246066
1608						
1609				0.480769231		0.480769231
1610				0.119760479		0.119760479
1611		0.142653352		0.142653352		0.285306705
1612						
1613	0.154559505					0.154559505
1614				0.249066002		0.249066002
1615	0.367647059	0.12254902	0.12254902	0.245098039		0.857843137
1616	0.136239782					0.136239782
1617		0.127226463		0.127226463		0.254452926
1618				0.108577633		0.108577633
1619	0.110375276			0.220750552		0.331125828
1620	0.091659028					0.091659028
1621	0.12254902		0.12254902			0.245098039
1622	0.139275766		0.278551532			0.417827298
1623		0.152439024				0.152439024
1624	0.147275405					0.147275405
1625	0.136054422					0.136054422
1626	0.155520995		0.155520995			0.311041991
1627	0.164203612		0.164203612			0.328407225
1628			0.137741047			0.137741047
1629	0.161812298	0.161812298				0.323624595
1630	0.259403372	0.129701686		0.389105058		0.778210117
1631	0.151057402		0.453172205			0.604229607
1632	0.18018018	0.18018018				0.36036036
1633	0.156985871	0.156985871		0.470957614		0.784929356
1634	0.174216028		0.348432056			0.522648084
1635		0.157977883	0.473933649	0.157977883		0.789889415
1636	0.186219739			0.186219739		0.372439479
1637	0.51457976			0.171526587		0.686106346
1638				0.166112957		0.166112957
1639		0.350877193	0.175438596			0.526315789
1640	0.239520958	0.119760479		0.239520958		0.598802395
1641		0.068212824		0.204638472		0.272851296
1642	0.046904315	0.09380863		0.09380863		0.234521576
1643	0.075414781		0.075414781	0.075414781		0.226244344
1644				0.096899225		0.096899225
1645	0.093632959		0.093632959			0.187265918
1646		0.168634064				0.168634064
1647				0.069013112		0.069013112
1648			0.058072009			0.058072009
1649	0.034831069	0.069662139		0.034831069		0.139324277
1650	0.167785235	0.111856823		0.167785235		0.447427293
1651	0.072833212	0.072833212		0.145666424		0.291332848
1652		0.098570724	0.049285362	0.098570724		0.246426811
1653		0.187969925	0.093984962			0.281954887
1654		0.281690141		0.375586854		0.657276995
1655		0.089928058		0.089928058		0.179856115
1656	0.171526587	0.171526587	0.25728988	0.085763293		0.686106346
1657	0.094339623	0.377358491	0.094339623	0.188679245		0.754716981
1658	0.175438596	0.087719298	0.175438596			0.438596491
1659		0.194931774				0.194931774
1660	0.101626016	0.203252033		0.050813008		0.355691057
1661				0.242522231		0.242522231
1662	0.254452926	0.339270568		0.254452926		0.848176421
1663		0.085324232				0.085324232
1664	0.165016502	0.082508251	0.082508251	0.082508251		0.412541254
1665		0.089047195	0.267141585	0.267141585		0.623330365
1666	0.237529691			0.237529691		0.475059382
1667	0.207039337	0.103519669	0.621118012	0.103519669		1.035196687
1668	0.282485876	0.094161959	0.188323917	0.282485876		0.847457627
1669	0.09765625	0.09765625		0.29296875		0.48828125
1670	0.082850041	0.082850041	0.082850041			0.248550124
1671		0.187617261	0.187617261	0.09380863		0.469043152
1672	0.07558579	0.07558579	0.07558579	0.15117158		0.377928949
1673		0.092421442	0.092421442	0.369685767		0.554528651
1674		0.256410256				0.256410256
1675	0.082644628	0.578512397	0.247933884	0.165289256		1.074380165
1676		0.17699115	0.17699115	0.442477876		0.796460177
1677	0.093896714	0.187793427	0.375586854	0.093896714		0.751173709
1678	0.082440231	0.247320692	0.164880462	0.082440231		0.577081616
1679	0.068540096	0.137080192	0.068540096			0.274160384
1680	0.057240985	0.057240985	0.114481969	0.286204923		0.515168861
1681	0.260926288	0.065231572	0.065231572			0.391389432
1682	0.072516316			0.145032632		0.217548949
1683		0.211267606		0.492957746		0.704225352
1684	0.132362674		0.066181337	0.198544011		0.397088021
1685	0.064308682	0.064308682	0.192926045	0.064308682		0.38585209
1686		0.167926113	0.167926113	0.251889169		0.587741394
1687	0.080192462	0.080192462	0.160384924	0.801924619		1.122694467
1688	0.28280543	0.056561086	0.056561086	0.226244344		0.622171946
1689			0.118764846	0.356294537		0.475059382
1690		0.199203187	0.066401062	0.132802125		0.398406375
1691	0.082169269	0.082169269		0.410846343		0.575184881
1692	0.082576383			0.082576383		0.165152766
1693		0.075987842	0.075987842	0.075987842		0.227963526
1694	0.083472454	0.41736227	0.083472454	0.166944908		0.751252087
1695	0.071073205		0.071073205	0.355366027		0.497512438
1696			0.216606498			0.216606498
1697	0.149253731	0.074626866	0.149253731	0.149253731		0.52238806
1698	0.07057163	0.14114326	0.07057163	0.282286521		0.564573042
1699	0.07733952	0.154679041	0.07733952	0.154679041		0.464037123
1700	0.137883488		0.172354361	0.137883488		0.448121337
1701	0.08841733	0.08841733		0.265251989		0.442086649
1702	0.17167382		0.08583691	0.25751073		0.515021459
1703	0.310559006			0.207039337		0.517598344
1704	0.088573959	0.088573959	0.088573959	0.088573959		0.354295837
1705	0.263157895	0.087719298	0.087719298	0.263157895		0.701754386
1706	0.269541779	0.179694519	0.08984726	0.179694519		0.718778077
1707	0.084961767	0.084961767	0.254885302	0.169923534		0.59473237
1708		0.093457944	0.093457944	0.186915888		0.373831776
1709	0.185701021	0.278551532	0.185701021	0.278551532		0.928505107
1710				0.132450331		0.132450331
1711	0.308404009	0.077101002		0.231303007		0.616808019
1712	0.076277651		0.305110603	0.228832952		0.610221205
1713	0.259291271	0.259291271	0.086430424	0.086430424		0.691443388
1714	0.223214286	0.223214286	0.074404762	0.148809524		0.669642857
1715	0.149588631			0.149588631		0.299177263
1716	0.082850041	0.082850041	0.331400166	0.414250207		0.911350456
1717	0.143678161	0.215517241		0.287356322		0.646551724
1718	0.152788388	0.152788388		0.152788388		0.458365164
1719	0.157356412		0.078678206			0.236034618
1720	0.172910663	0.23054755		0.345821326		0.749279539
1721	0.301659125	0.150829563	0.150829563	0.075414781		0.678733032
1722	0.409165303	0.245499182	0.081833061	0.490998363		1.227495908
1723	0.161681487		0.323362975	0.242522231		0.727566694
1724	0.160513644	0.080256822		0.401284109		0.642054575
1725	0.147167035	0.073583517	0.073583517	0.220750552		0.515084621
1726	0.313971743		0.156985871			0.470957614
1727	0.146627566	0.146627566		0.366568915		0.659824047
1728	0.243704305	0.162469537	0.081234768	0.243704305		0.731112916
1729	0.311041991		0.155520995	0.233281493		0.699844479
1730	0.301568154	0.120627262	0.180940893	0.301568154		0.904704463
1731	0.228658537		0.228658537	0.076219512		0.533536585
1732	0.328947368	0.131578947	0.263157895	0.131578947		0.855263158
1733	0.192678227	0.064226076	0.128452152	0.385356455		0.770712909
1734	0.298730396	0.224047797	0.224047797	0.149365198		0.896191187
1735	0.124223602	0.310559006	0.248447205	0.124223602		0.807453416
1736	0.065316786	0.195950359				0.261267146
1737	0.202839757	0.405679513	0.338066261	0.135226504		1.081812035
1738	0.136425648			0.204638472		0.34106412
1739	0.324675325	0.064935065	0.064935065	0.064935065		0.519480519
1740	0.284090909	0.056818182	0.397727273	0.227272727		0.965909091
1741	0.277970813	0.069492703	0.138985407	0.20847811		0.694927033
1742	0.204918033	0.341530055	0.068306011	0.136612022		0.75136612
1743	0.367647059	0.147058824	0.220588235	0.294117647		1.029411765
1744	0.141542817	0.070771408	0.283085633	0.212314225		0.707714084
1745	0.273972603	0.136986301	0.068493151	0.273972603		0.753424658
1746	0.151400454	0.151400454	0.075700227	0.227100681		0.605601817
1747	0.27758501	0.069396253	0.069396253	0.069396253		0.485773768
1748	0.139958013	0.139958013	0.209937019	0.069979006		0.55983205
1749	0.186451212		0.435052828	0.062150404		0.683654444
1750	0.226244344	0.135746606	0.226244344	0.045248869		0.633484163
1751	0.244798042	0.183598531				0.428396573
1752	0.307534598	0.051255766	0.153767299	0.256278831		0.768836494
1753	0.485961123	0.05399568	0.107991361	0.05399568		0.701943844
1754	0.740283775	0.678593461	0.246761258	0.185070944		1.850709439
1755	0.190839695	0.318066158	0.254452926	0.318066158		1.081424936
1756	0.475059382	0.178147268	0.41567696	0.059382423		1.128266033
1757	0.431034483	0.184729064	0.246305419	0.307881773		1.169950739
1758	0.31152648	0.062305296	0.373831776	0.249221184		0.996884735
1759	0.322580645	0.193548387	0.258064516			0.774193548
1760	0.241545894	0.193236715	0.096618357			0.531400966
1761	0.188679245	0.062893082	0.125786164	0.062893082		0.440251572
1762	0.290697674	0.11627907	0.174418605	0.058139535		0.639534884
1763	0.229095074	0.057273769	0.229095074	0.057273769		0.572737686
1764	0.167691448	0.167691448	0.335382895	0.111794298		0.782560089
1765	0.157068063	0.314136126	0.209424084	0.104712042		0.785340314
1766	0.190114068	0.190114068	0.285171103			0.66539924
1767	0.305810398	0.101936799	0.152905199	0.0509684		0.611620795
1768	0.308008214	0.359342916	0.154004107	0.102669405		0.924024641
1769	0.407331976	0.356415479	0.356415479	0.050916497		1.17107943
1770	0.494159928	0.134770889	0.134770889	0.134770889		0.898472597
1771	0.09629273	0.09629273	0.529610014	0.144439095		0.866634569
1772	0.390053632	0.195026816	0.48756704	0.097513408		1.170160897
1773	0.458715596	0.305810398	0.203873598	0.152905199		1.121304791
1774	0.257201646		0.308641975	0.102880658		0.66872428
1775	0.299529311	0.171159606	0.213949508	0.128369705		0.81300813
1776	0.175824176	0.571428571	0.307692308	0.21978022		1.274725275
1777	0.294365013	0.252312868	0.210260723			0.756938604
1778	0.312360553	0.178491745	0.178491745	0.223114681		0.892458724
1779	0.399113082	0.177383592	0.133037694	0.088691796		0.798226164
1780	0.407497963	0.244498778	0.32599837	0.081499593		1.059494703
1781	0.436871997	0.349497597	0.305810398	0.087374399		1.179554391
1782	0.502302219	0.167434073	0.209292591	0.209292591		1.088321473
1783	0.355029586	0.394477318	0.473372781	0.157790927		1.380670611
1784	0.218340611	0.327510917	0.145560408	0.072780204		0.76419214
1785	0.374404357	0.238257318	0.272294078	0.03403676		0.918992512
1786	0.21978022	0.256410256	0.32967033	0.073260073		0.879120879
1787	0.228907783	0.294310007	0.196206671	0.130804447		0.850228908
1788	0.197758734	0.296638102	0.131839156	0.131839156		0.758075148
1789	0.389646535	0.222655163	0.333982744	0.055663791		1.001948233
1790	0.325803649	0.390964379	0.238922676	0.195482189		1.151172893
1791	0.20718232	0.32228361	0.184162063			0.713627993
1792	0.43715847	0.191256831	0.218579235	0.081967213		0.928961749
1793	0.118063754	0.20661157	0.088547816	0.088547816		0.501770956
1794	0.169779287	0.13582343	0.101867572	0.067911715		0.475382003
1795	0.137551582	0.068775791	0.309491059	0.103163686		0.618982118
